DocType: Tickets Ticket Bundle,Tickets Ticket Bundle,
DocType: Tickets Ticket BundleTicket,Tickets Ticket BundleTicket,
DocType: Tickets TicketItem,Tickets TicketItem,
DocType: Tickets TicketReport,Tickets TicketReport,
DocType: Tickets Type,Tickets Type,
DocType: Tickets Report,Tickets User,
DocType: Tickets Task,Total Cost,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +79,Total Cost: {0},
DocType: Tickets SiteTeam,Type,
DocType: Tickets Type,Type Name,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.js +35,Update Cost,
DocType: Tickets Ticket,Wechat Notify,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +92,You Got This Ticket,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +85,You have no permission to get this tickets,
